CLXT,"Calyxt, Inc.",Basic Industries,Agricultural Chemicals,https://www.nasdaq.com/symbol/clxt,NASDAQ
FSM,Fortuna Silver Mines Inc.,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/fsm,NYSE
MTL,Mechel PAO,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/mtl,NYSE
REX,REX American Resources Corporation,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/rex,NYSE
AVD,American Vanguard Corporation,Basic Industries,Agricultural Chemicals,https://www.nasdaq.com/symbol/avd,NYSE
GRAM,Grana y Montero S.A.A.,Basic Industries,Military/Government/Technical,https://www.nasdaq.com/symbol/gram,NYSE
MTRX,Matrix Service Company,Basic Industries,Engineering & Construction,https://www.nasdaq.com/symbol/mtrx,NASDAQ
IPI,"Intrepid Potash, Inc",Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/ipi,NYSE
MUX,McEwen Mining Inc.,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/mux,NYSE
TMST,TimkenSteel Corporation,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/tmst,NYSE
CINR,Ciner Resources LP,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/cinr,NYSE
USLM,"United States Lime & Minerals, Inc.",Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/uslm,NASDAQ
HCLP,Hi-Crush Partners LP,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/hclp,NYSE
UAN,"CVR Partners, LP",Basic Industries,Agricultural Chemicals,https://www.nasdaq.com/symbol/uan,NYSE
LAC,Lithium Americas Corp.,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/lac,NYSE
MSB,Mesabi Trust,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/msb,NYSE
TWI,"Titan International, Inc.",Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/twi,NYSE
GPP,Green Plains Partners LP,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/gpp,NASDAQ
STRL,Sterling Construction Company Inc,Basic Industries,Military/Government/Technical,https://www.nasdaq.com/symbol/strl,NASDAQ
OMN,OMNOVA Solutions Inc.,Basic Industries,Specialty Chemicals,https://www.nasdaq.com/symbol/omn,NYSE
CLW,Clearwater Paper Corporation,Basic Industries,Paper,https://www.nasdaq.com/symbol/clw,NYSE
XIN,Xinyuan Real Estate Co Ltd,Basic Industries,Homebuilding,https://www.nasdaq.com/symbol/xin,NYSE
SIC,"Select Interior Concepts, Inc.",Basic Industries,Homebuilding,https://www.nasdaq.com/symbol/sic,NASDAQ
RYI,Ryerson Holding Corporation,Basic Industries,Metal Fabrications,https://www.nasdaq.com/symbol/ryi,NYSE
EXK,Endeavour Silver Corporation,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/exk,NYSE
PLPC,Preformed Line Products Company,Basic Industries,Water Supply,https://www.nasdaq.com/symbol/plpc,NASDAQ
CULP,"Culp, Inc.",Basic Industries,Textiles,https://www.nasdaq.com/symbol/culp,NYSE
NWPX,Northwest Pipe Company,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/nwpx,NASDAQ
LOOP,"Loop Industries, Inc.",Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/loop,NASDAQ
LEGH,Legacy Housing Corporation,Basic Industries,Homebuilding,https://www.nasdaq.com/symbol/legh,NASDAQ
ADES,"Advanced Emissions Solutions, Inc.",Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/ades,NASDAQ
FSTR,L.B. Foster Company,Basic Industries,Metal Fabrications,https://www.nasdaq.com/symbol/fstr,NASDAQ
AMRS,"Amyris, Inc.",Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/amrs,NASDAQ
LXU,Lsb Industries Inc.,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/lxu,NYSE
MPVD,Mountain Province Diamonds Inc.,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/mpvd,NASDAQ
BBCP,"Concrete Pumping Holdings, Inc. ",Basic Industries,Engineering & Construction,https://www.nasdaq.com/symbol/bbcp,NASDAQ
NL,"NL Industries, Inc.",Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/nl,NYSE
ZEUS,"Olympic Steel, Inc.",Basic Industries,Metal Fabrications,https://www.nasdaq.com/symbol/zeus,NASDAQ
CHRA,"Charah Solutions, Inc.",Basic Industries,Environmental Services,https://www.nasdaq.com/symbol/chra,NYSE
FTK,"Flotek Industries, Inc.",Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/ftk,NYSE
MBII,"Marrone Bio Innovations, Inc.",Basic Industries,Agricultural Chemicals,https://www.nasdaq.com/symbol/mbii,NASDAQ
SND,"Smart Sand, Inc.",Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/snd,NASDAQ
USAP,"Universal Stainless & Alloy Products, Inc.",Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/usap,NASDAQ
SYNL,Synalloy Corporation,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/synl,NASDAQ
AQMS,"Aqua Metals, Inc.",Basic Industries,Metal Fabrications,https://www.nasdaq.com/symbol/aqms,NASDAQ
DRD,DRDGOLD Limited,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/drd,NYSE
HYGS,Hydrogenics Corporation,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/hygs,NASDAQ
NEWA,"Newater Technology, Inc.",Basic Industries,Miscellaneous,https://www.nasdaq.com/symbol/newa,NASDAQ
ORN,"Orion Group Holdings, Inc.",Basic Industries,Military/Government/Technical,https://www.nasdaq.com/symbol/orn,NYSE
AMRK,"A-Mark Precious Metals, Inc.",Basic Industries,Other Specialty Stores,https://www.nasdaq.com/symbol/amrk,NASDAQ
GURE,"Gulf Resources, Inc.",Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/gure,NASDAQ
EVGN,Evogene Ltd.,Basic Industries,Agricultural Chemicals,https://www.nasdaq.com/symbol/evgn,NASDAQ
LMB,"Limbach Holdings, Inc.",Basic Industries,Engineering & Construction,https://www.nasdaq.com/symbol/lmb,NASDAQ
